ID,Work Item Type,State,Iteration Path,Title,Description,Acceptance Criteria,Comments,Assigned To
"37573","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-24-JUN4","Consent Messages: GET Reminders from Reminders DB","<div>When we add a new reminder to a payment plan, it gets created and stored in the finance database. For its contact value (email or phone), we need to check the Reminders DB and see if it has already been granted consent for the court tenant of the payment plan. </div><div><span style=""text-align:left;background-color:rgb(32, 31, 30);display:inline !important;""><br></span> </div><div><span style=""text-align:left;background-color:rgb(32, 31, 30);display:inline !important;""><b>Reminders API</b></span> </div><div><span style=""text-align:left;background-color:rgb(32, 31, 30);display:inline !important;"">Create a GET Endpoint that returns all reminders from the Reminders DB that match a given contact value and type. The endpoint should also send back the consent status of the reminder retrieved.</span> </div><div><span style=""text-align:left;background-color:rgb(32, 31, 30);display:inline !important;""><br></span> </div><div><span style=""text-align:left;background-color:rgb(32, 31, 30);display:inline !important;"">We'll hit this endpoint from finance.</span> </div>","<ul><li>endpoint returns a list of reminders found in the Reminders DB that match the contact value and court tenant params </li><li>if no reminders are found, return an empty list </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37111","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-22-MAY7","Modify Edit Payment Plan Endpoint to Include Editing Existing Reminders","<div>In Finance API: </div><div><br> </div><div><span style=""background-color:rgb(32, 31, 30);display:inline !important;"">Reminders need to be included in the response for the edit payment plan endpoint. That way when we go to edit/save a modified payment plan, it also will save the reminders if they were modified as well.</span><br> </div>","<ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Edit Payment Plan endpoint should contain reminders in the request body </li><li style=""box-sizing:border-box;"">upon successfully editing a payment plan: </li><ul><li style=""box-sizing:border-box;"">changes to reminders should be reflected in the database </li><li style=""box-sizing:border-box;"">if there were no changes to the reminders, there should be no db transactions in regards to the reminders table </li> </ul> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37103","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-20-API9","Modify the Add Payment Plan Endpoint to Include Adding New Reminders","<div>In the Finance API: </div><div><br> </div><div>Reminders need to be included in the response for the add payment plan endpoint. That way when we go to save the payment plan, it also will save the reminders that a user has added. </div>","<ul><li>Add Payment Plan endpoint should contain reminders in the request body </li><li>upon successfully adding a payment plan, the reminders should be stored in their respective database table with the correct information from the request body </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"37083","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-19-MAR26","Set Up Reminders in Finance API","<div>This story is just the initial set up for us to do future Reminders work in the finance API. </div><div><br> </div><div>We need to set up the reminders table and update relevant Payment Plan Repository functions &amp; dto's to include reminders. </div><div><br> </div><div>It's likely that unit/acceptance tests will also be need to be modified.&nbsp; </div>","<ul><li>Reminders should be added to all Payment Plan responses </li><li>Reminders table should be created and contain the following fields </li><ul><li>Id </li><li>Payment Plan ID (FK) </li><li>Contact Type </li><li>Contact Value </li><li>Consent Granted </li> </ul><li><a href=""https://miro.com/app/board/uXjVMqYUzt4=/?moveToWidget=3458764585401902083&amp;cot=14"">Link to the schema</a> </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"36617","Bug","Closed","MiCOURT\Atomic Object\Finance\AO-22-MAY7","Contact info not repopulating into the modal",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"36618","Bug","Closed","MiCOURT\Atomic Object\Finance\AO-22-MAY7","Must provide required information to proceed to step 3",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"35530","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-18-MAR12","Using pagination buttons should scroll the user to the top of the table.","<div>When the user interacts with the pagination on ANY table in the finance project that has pagination, the user should be scrolled to the top of the table. </div><div><br> </div><div>The tables should behave like the case search tables in portal. </div><div><br> </div><div><br> </div><div><a href=""https://v15.material.angular.io/components/paginator/api"">https://v15.material.angular.io/components/paginator/api</a><br> </div>",,,"Jacob Williams <jacob.williams@atomicobject.com>"
"36551","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-18-MAR12","remove notes from finance api",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"34149","Bug","Closed","MiCOURT\Atomic Object\Finance\AO-18-MAR12","Navigating to last page of search results never returns",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"34688","User Story","Closed","MiCOURT\Atomic Object\Finance\AO-18-MAR12","Notes Tab in Detailed View of Payment Plan","<div><b style=""box-sizing:border-box;"">User Story</b><span style=""box-sizing:border-box;display:inline !important;"">: As a clerk,&nbsp;</span><span style=""box-sizing:border-box;display:inline !important;"">I want to be able to view, add, edit, and delete notes from the detailed view of a payment plan.</span><br style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><b><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-81975&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4"">Notes Tab in Detailed View</a>&nbsp;Design</b> </div><div style=""box-sizing:border-box;""><b><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-81978&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4"">Edit Note workflow</a></b> </div><div style=""box-sizing:border-box;""><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-82133&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4""><b>Delete Note workflow</b></a> </div><div style=""box-sizing:border-box;""><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-81733&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4""><b>Add notes workflow</b></a> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><b style=""box-sizing:border-box;"">Technical Notes</b><span style=""box-sizing:border-box;display:inline !important;"">:</span> </div><div><span style=""box-sizing:border-box;display:inline !important;""><br></span> </div><div><span style=""box-sizing:border-box;display:inline !important;"">This involves both front-end and back-end work.<br></span> </div><div><span style=""box-sizing:border-box;display:inline !important;""><br></span> </div><div><span style=""box-sizing:border-box;display:inline !important;"">The backend work for payment plan notes is similar to case notes: <a href=""https://dev.azure.com/mi-jis/MiCOURT/_git/MiCourt.Notes.Api"">https://dev.azure.com/mi-jis/MiCOURT/_git/MiCourt.Notes.Api</a><br></span> </div>","<div><ul><li>Add Notes tab to Detailed View of Payment Plan </li><li>Sort order should be newest first </li><li>User should be able to view a list of existing notes including who added the note and when </li><li>User should be able to <a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-80830&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4"">Edit notes from this screen</a>&nbsp; </li><ul><li>user should be able to update text, save, or cancel&nbsp; </li><li>Text limit is 4000 characters&nbsp; </li> </ul><li>User should be able to <a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-82133&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4"">Delete notes</a> from this screen (soft delete)&nbsp; </li><ul><li>Confirmation pops up before the note is deleted </li> </ul><li>User should be able to <a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3971-81733&amp;mode=design&amp;t=tk3oPpVQaTlDLFR2-4"">Add a Note</a> </li><ul><li>New note should be added to the list view of notes once it is saved </li><li>Text limit is 4000 characters&nbsp;<br> </li> </ul> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"34162","User Story","Closed","MiCOURT\Atomic Object\Finance","Cases Table Setup","<div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">User Story</b><span style=""box-sizing:border-box;"">:&nbsp;</span><span style=""box-sizing:border-box;"">As a clerk, I want to be able to view a list of the cases associated with this payment plan in a detailed view.</span> </div> </div><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><b><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=3055-150414&amp;mode=design&amp;t=V4eg8ePfc5jQaRf2-4"">Figma</a></b> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Technical Notes</b>:&nbsp; </div>Use this endpoint to get additional information <span><span><span><a><span>/api<wbr>/case-product<wbr>/v3<wbr>/{courtKey}<wbr>/cases<wbr>/{caseDocketId}</span></a></span></span></span><br> </div><br>","<ul><li>Table should include </li><ul><li>Name </li><li>Case ID </li><li>Description </li><li>Restitution Owed </li><li>Balance </li><li>Total of each column </li> </ul><li><b>Edit and View Details buttons are out of scope for this story</b> </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"34047","User Story","Closed","MiCOURT\Atomic Object\Finance","View Details Button ","<div style=""box-sizing:border-box;""><b>User Story:</b><span>&nbsp;As a clerk,&nbsp;</span><span>I want to click the View Details button and be taken to the Overview screen.&nbsp;</span><br> </div><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=2529-128001&amp;mode=design&amp;t=GV9R1ps9SsYoRlpj-4"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">Figma</a><span>&nbsp;</span>- View Details button<br style=""box-sizing:border-box;""></b> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><span><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=2885-107291&amp;mode=design&amp;t=uP5TMeandFtnITCE-4"">Figma</a>&nbsp;</span>- Payment Plan Overview screen</b> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Technical Notes:</b> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br></b> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Design Notes:</b> </div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Each tab in the expanded payment plan row has a 'View Details' button. For right now, all of these buttons take the user to the same 'Payment Plan Overview' page.</span> </div> </div><br>","<div><li style=""box-sizing:border-box;"">Setup of View Details button </li><li style=""box-sizing:border-box;"">When button is clicked, user is redirected to the Payment Plan Overview screen (see figma above) </li><br> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"33522","User Story","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements\AO-02-SEP12","Create function returning current date for data mapping","<div>Per Kacie H review of NTA in Design Sync from 9/14. </div><div><br> </div><div>The Notice to Appear form (MC06 - NTA) has the &quot;Date issued&quot; field on the form (version 6/19 is the current version). Presto populates the current date, when the form is generated. Create a function to pull current date from the server and make that available in the CMS Mapping column. </div><div><br> </div><div>See attached pdf form generation. </div>","<div><ol><li>Mapping the &quot;Date issued&quot; field of the MC06 form. </li><li>Use the &quot;Add Form&quot; from Case Search &gt; Forms generates a form with the &quot;Date issued&quot; field populated with today's date. </li><li>Opening the form in Presto works the same. </li> </ol> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"33690","Bug","Closed","MiCOURT\Atomic Object\Forms and Portal Enhancements","'Esc' doesn't close ACN confirmation modals",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
"33205","User Story","Closed","MiCOURT\Atomic Object\Sprint 49","Hide ""Lookup Menu"" and Write Input to ROA' field in demo/staging/prod","<div>&quot;Lookup menu&quot; and &quot;Writing inputs to the ROA&quot; work are not complete and should not show in demo/staging/prod </div><div><span style=""""><ol><li><span style="""">hide &quot;Lookup Menu&quot; column on forms stepper&nbsp; (screenshot 1)</span> </li><li>hide &quot;Write Input Form Value to ROA&quot; column on forms stepper (screenshot 1) </li><li>hide &quot;Include form field data&quot; field and label below it (screenshot 2) </li> </ol><div><i>screenshot 1</i> </div></span> </div><div><img src=""https://dev.azure.com/mi-jis/0547c096-a601-46b0-9f3f-f8b8197e7ccb/_apis/wit/attachments/382913a4-3e3e-4d47-b4df-502b9a9bdc3b?fileName=Screen%20Shot%202023-08-20%20at%202.22.54%20PM.png"" alt=""Screen Shot 2023-08-20 at 2.22.54 PM.png""><br> </div><div><br> </div><div><br> </div><div>screenshot 2 </div><div><img src=""https://dev.azure.com/mi-jis/0547c096-a601-46b0-9f3f-f8b8197e7ccb/_apis/wit/attachments/b561f302-064a-412d-abad-fde3226a61cb?fileName=Screen%20Shot%202023-08-20%20at%202.30.42%20PM.png"" alt=""Screen Shot 2023-08-20 at 2.30.42 PM.png"">&nbsp; </div>","<ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">hide &quot;Lookup Menu&quot; column on forms stepper&nbsp; (screenshot 1)</span> </li><li style=""box-sizing:border-box;"">hide &quot;Write Input Form Value to ROA&quot; column on forms stepper (screenshot 1) </li><li style=""box-sizing:border-box;"">hide &quot;Include form field data&quot; field and label below it (screenshot 2) </li><li style=""box-sizing:border-box;""><b>once merged and deployed, tested, update forms packages in suiteadmin and deploy</b> </li> </ol>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"33216","User Story","Closed","MiCOURT\Atomic Object\Sprint 49","Hide ""Save draft"" button on forms display page","<div>Drafts will not be part of the pilot release so we need to hide the &quot;Save Draft&quot; button.<br><br><img src=""https://dev.azure.com/mi-jis/0547c096-a601-46b0-9f3f-f8b8197e7ccb/_apis/wit/attachments/43801947-80db-43a3-8d37-8dd9dbbcbeaf?fileName=hide_save_draft.png"" alt=hide_save_draft.png><br><br><br> </div><div><br> </div><div><br> </div>","<ul><li>apply dev guard to the &quot;Save Draft&quot; button on the forms display route. This button should only show in the local/dev environments </li> </ul>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"33090","User Story","Closed","MiCOURT\Atomic Object\Finance","Populate payment plan table","<div><b>User Story:</b><span>&nbsp;As a user, I want to see a high-level overview of each payment plan detail when viewing a list of current payment plans (this is the non-expanded view). This information includes name, date of birth, SSN, Driver's license, # of plan cases, and remaining balance.&nbsp;</span><br> </div><div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b>Figma:&nbsp;</b><a href=""https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=975-38775&amp;mode=design&amp;t=uXXA9PUlUq699v6l-4"">https://www.figma.com/file/2pRV7TxGeknqcI0tuj1f7m/MiCourt-Finance?type=design&amp;node-id=975-38775&amp;mode=design&amp;t=uXXA9PUlUq699v6l-4</a></span> </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><h3><span style=""box-sizing:border-box;"">Technical Notes</span> </h3> </div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">For this story, populate the list of payment plans with just the data 
available from the payment plan database. Later, we will hook this up to
 a new REST API endpoint to give us search capability and more detailed 
case information. </span><b style=""box-sizing:border-box;""><br></b> </div> </div>","<div><ul><li>Each row shows&nbsp; </li><ul><li>name </li><li>DOB </li><li>SSN </li><li>Driver's License </li><li># of cases in plan </li><li>remaining balance in alignment with the headers of the table </li> </ul><li>Each row can expand (does not need to show additional information). </li><li>Each row has a checkbox option. </li><li>Notes: </li><ul><li><span style=""text-align:start;display:inline !important;"">Setup of the table for these rows is part of a different story.&nbsp;</span> </li><li><span style=""text-align:start;display:inline !important;"">This story includes setting up the details of each row in the <b>non-expanded</b> view.&nbsp;</span> </li><li><span style=""text-align:start;display:inline !important;"">The details show in the expanded view are part of a different story.&nbsp;&nbsp;</span> </li><li><span style=""text-align:start;display:inline !important;""><b>Tags and Days since last payment are not within the scope of this story.</b></span><br> </li> </ul> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"29373","User Story","Closed","MiCOURT\Atomic Object","Edit form template modal header changes","<div>In the edit form template version workflow, the page header/top nav bar should be the template version name instead of &quot;Edit Form Template Version&quot; and the X button should instead be a back arrow. </div><div><br> </div><div><img src=""https://dev.azure.com/mi-jis/0547c096-a601-46b0-9f3f-f8b8197e7ccb/_apis/wit/attachments/72d4e607-81cd-4917-b7dd-d4a24284cf58?fileName=image.png"" alt=Image><br> </div><div>FIle_name = mc06 </div><div>formTitle = Notice to Appear </div>","<div><ul><li>Should be the template version name instead of &quot;Edit Form Template Version&quot;<br> </li><li>Should be back arrow instead of cancel X button<br> </li> </ul> </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"28326","User Story","Closed","MiCOURT\Atomic Object\Sprint 33","JIS Admin is warned when trying to leave Form Template creation page without submitting","<div><div style=""box-sizing:border-box;"">Prompt user with a modal to confirm their intent to cancel the creation of a form template version if they have not submitted it. &nbsp; </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">Use case: JIS Admin creates a new template, or a new template version, then starts the creation of the template and clicks the close button in the navbar.&nbsp; A modal would ask them if they want to continue or go back and save the work they have done. &nbsp;This is to help prevent losing the mapping work, which could take users a decent amount of time to complete. </div><div style=""box-sizing:border-box;""><br> </div><div style=""box-sizing:border-box;"">This should work for navigation events such as typing a new route in the address bar, or UI events like clicking the close button in the upper left of the component or the Cancel button in the upper right. </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><a href=""https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=2871:39080"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">https://www.figma.com/file/f577nrKafqKB7x3rvRHMOt/JIS-MiCourt?node-id=2871%3A39080</a> </div><div style=""box-sizing:border-box;""><br> </div><div style=""box-sizing:border-box;"">Dev Note: You may want to use a De-Activate Route Guard:&nbsp;<a href=""https://angular.io/api/router/CanDeactivate"">https://angular.io/api/router/CanDeactivate</a> </div><br> </div>","<div>If the user has started the process of creating a new form template or form template version they are prompted by a modal before navigating away. </div><div><br> </div><div>Confirm design and language of the prompt with Ian and Bryan. </div>",,"Jacob Williams <jacob.williams@atomicobject.com>"
"30338","Bug","Closed","MiCOURT\Atomic Object\Sprint 37","Pressing escape key or clicking outside open dialogs closes dialog",,,,"Jacob Williams <jacob.williams@atomicobject.com>"
